tweet_id,text,sentiment_score
192624,@161252 What's that egg website people talk about,0.0
738238,Why!🤷🏻‍♀️ #iOS11 @AppleSupport https://t.co/BXrVfeIXxq,0.0
2414302,@693975 We can assist you. We recommend updating to iOS 11.1.1 if you haven't had the chance to do so. You can also DM us with the following link for futher support. https://t.co/GDrqU22YpT,0.5362
1793929,@331912 @115955 Thats better than having an unstable connection that drops every 5-20 mins,0.1027
2088018,@VirginAmerica is probably one of the best airlines I've ever experienced.,0.6369
1941217,@AlaskaAir Phone system seems to be down,0.0
863668,@325106 Cool! Can you DM us a screenshot of your bank statement? /RB,0.3802
2206333,@Uber_Support Reports are there are 68 Ubers waiting for passengers.  Something isn't working...,0.0
1895823,"@565060 Since our Twitter support is available in English, get help at https://t.co/IBIY3vMgPj or join https://t.co/pvaOFfPbjt",0.765
2744170,"@AmazonHelp Saw that but only after a labored hunt. Bigger point though: why only USB 2.0? 

Not expecting you to explain USB standards but is there/will there ever be a 3.0?",0.0
844825,"@320829 Hi, please call 844.401.8500 Option 2 to file a claim. Also, please DM the ATM location so we can have it serviced. ^tr",0.5574
2484393,@709739 We apologize for any inconvenience. Kindly send a note here: https://t.co/EGiaYE5JMU so we can connect.,0.2732
1047538,"@British_Airways Ok. Will check with them. Thanks.
Also, kudos for the flight safety video with Comic Relief stars. Fantastic!",0.9531
960215,@347847 Can you please DM us some more details about what happened today? https://t.co/SXpdictw1A,0.3182
524920,@AmazonHelp Give me the contact number of CLOUDTAIL INDIA PVT LTD i will talk to them about DISPATCHING 😡,0.0772
57162,@ChipotleTweets It’s pretty bad. But at least the queso is good!,0.6114
2573837,@AmazonHelp Omg your buffering is getting worse by the second. What is going on with Amazon,-0.34
1820869,@546646 also Guactober. Sounds like a good time to make a wish. -Shawn,0.7964
2180734,@639002 We love to see your #TargetStyle! Thank you for the input. We will forward your feedback to our Merchandise Team for review.,0.7901
2972824,"@819705 For the Shopping, Kindle, and Music apps, you can sign out (deregister) the device under the Devices tab here: https://t.co/o87OnrGtCn. If it's the Amazon Video app, you can deregister the device at the bottom of the page here: https://t.co/LF4fWTBwzm ^MV",0.1779
2724137,Is there a fault with your online chat? @O2 as can’t seem to get anyone available to request PUK code for my accounts,-0.4019
2585655,@AppleSupport Yes!,0.4574
341050,"@197482 Hey, Brandon, we recommend choosing a larger vehicle option like uberXL or UberSUV. Reach out if you have any other questions.",0.6249
1187784,"Truth be told, I specifically flew @Delta because I wanted the cookies 😋 https://t.co/ipnGrz8P6h",0.3182
1814543,"@545098 We're glad to hear they were able to help. Time to sit down, relax and our crew will take great care of you!",0.945
697857,@286494 Cela nous fait énormément plaisir :) . ^ Ko,0.4588
78291,"@133454  Hello Ganga, dial *100#ok prepay or *200#ok postpay &gt; My subscriptions &gt; Marketing messages &gt; Deactivate Marting messages &gt; ..",0.0
2606719,@737436 Some features may not be available for all countries or regions. Check out this link for a complete list: https://t.co/EcYWjS6AUu,0.0
2744480,fucked my bill up for 3months and have the nerve to NOT have a direct phone for billing @116136 @115900 y’all suck!!,-0.8353
647159,"@273717 Hi, I'm sorry the Finest pulled pork is tough and for the inconvenience caused. Please DM your name, address, clear pic of the receipt and pic of date/barcode area on the packet so I can refund you via Moneycard? 1/2",0.1531
991947,"@116076 why is this stores lobby (Patton Ave in Asheville, NC) closed/locked? Drive thru only? We ordered ‘standing’ in drivethru https://t.co/HBZ0jTovD7",0.1179
17567,@115714 Just preordered mine thru att but this sounds very good to go with @115714 can I switch once my phone gets here?,0.6474
317275,"@115850 @115821 Courier is showing false status, no delivery attempted, I am waiting in office, no call no attempt tracking 5180735251790",-0.6808
1974474,"@584716 I am sorry we have upset you. Our team would be happy to help. Please, DM tracking number and concern details. ^JL https://t.co/wKJHDXWGRQ",0.7269
163996,@SouthwestAir forever ❤️,0.0
1960218,@AskPlayStation i was in a hurry when i made the account,0.0
2474323,"@O2 No, that was not mentioned, it was a £100 discount they could apply.",-0.296
2798966,"@223569 Sorry, Ben! Please reboot your device &amp; modem/router (https://t.co/HXpLyTU79x). If no luck, let us know the affected device.",0.3595
1715177,@519451 @519450 @comcastcares I've been having serious issues with the Comcast here in Oregon for about 11 years. Please send help.,0.5719
872288,@AmazonHelp you don't need access to my account.  I just want to know why a Prime member has to wait longer for a One day delivery,0.0772
2432781,@AmazonHelp Hemos hecho una compra de urgencia y en menos de una hora la teníamos en casa sin gastos de envío. ❤️,-0.5574
1523325,"@Ask_Spectrum App outage is real. In KC metro area, seeing same symptoms as outage Wed 11/1. DGE-1001, Web says not viewing from home.",0.0
2305368,"@668866 We're not seeing you took that flight, AK. Let us know if we can assist you.",0.0
1194176,"@400605 We're sorry about that, Alexa. Please let a crewmember know so we can get that cleaned up.",0.25
1657619,"@AskeBay Please consider the Windows Bridge fpr iOS https://t.co/5tKzmxyWyt
I'd love to better ebay access on a better mobile site and apps.",0.9062
2449598,@702075 DM us with your details and we will look into this for you ~ Vicky,0.0
2780106,@776505 Let me partner you with our Verizon Wireless team @115990.  They should respond as quickly as possible.,0.0
2713852,"@761841  Hi. Please send us a direct message with the promo code and your email at @doordash_help, and we'll take a look for you.",0.3182
1291,@115712 Just click ‘Message’ at the top of your profile. We're always here and eager to assist.,0.5106
565872,Tired of stories like this.  Amazon told me that they would put AMZL at the bottom of the list of carriers.  I told them that I would cancel any order that is being delivered by them.  I also am not renewing prime. https://t.co/3r8KmeHUnx,-0.1343
